rbd|codEdu|nombre|matemática1|matemática2|lectura|ciencias|historia|nem|ranking|promedio|dep|nse|posPromedio|posMatemática1|posMatemática2|posLectura|posCiencias|posHistoria|posNem|posRanking|región|comuna
25725|310|ESCUELA PARTICULAR NAHUEL|739.6|503.3|701.8|573.7|610.4|787.3|811|696.8054545454546|P. C/Subv|Medio Alto|269|233|252|230|258|234|558|526|RM|Paine
25727|310|LICEO PARTICULAR SALESIANO MANUEL ARRIARÁN BARROS|649.5|455.1|622|519.1|518.5|701.7|713.4|624.5694041867955|P. C/Subv|Medio Alto|882|541|419|788|528|774|1957|2199|RM|La Cisterna
25735|363|CENTRO EDUCACIONAL DE ADULTOS SAN ALFONSO|459.3|330|451.7|409.4|435|634|657.6|561.164135021097|P. C/Subv|Medio Bajo|2634|4119|3796|4019|3495|2721|3281|3285|RM|Puente Alto
25736|363|CENTRO EDUCACIONAL DE ADULTOS ISABEL LA CATÓLICA|482.4|351.1|483.2|415.5|406.8|562.6|585.8|508.5898550724638|P. C/Subv|Medio Bajo|3986|3892|3090|3672|3227|3540|4050|4023|RM|Puente Alto
25737|310|COLEGIO PARTICULAR ACROPOLIS|564.4|357.5|559.4|459.1|467.6|705.6|726.6|586.7320512820512|P. C/Subv|Medio Bajo|1799|1700|2738|1955|1522|1746|1866|1910|RM|Puente Alto
25739|310|COLEGIO NUESTRA SEÑORA DEL CARMEN DE MAIPÚ|588.1|361.2|584.7|467.6|488.6|783.4|791.4|610.3439516129032|P. C/Subv|Medio|1165|1227|2511|1430|1289|1271|599|779|RM|Maipú
25749|310|COLEGIO PARTICULAR ALICANTE DEL ROSAL|757.5|534.6|714|610.2|607.2|667|675|668.0817708333333|P. C/Subv|Medio Alto|419|198|166|183|183|248|2693|2996|RM|Maipú
25751|310|COLEGIO LIAHONA CORDILLERA|633.2|452.3|637.3|513.5|557.4|728.6|743.3|641.8228169014085|P. C/Subv|Medio Alto|642|661|434|605|573|453|1406|1606|RM|La Florida
25752|363|CENTRO DE EDUCACIÓN INTEGRADA DE ADULTOS TALAGANTE|476.3|309|539.1|433|465.2|635.5|662.8|570.9714285714285|P. C/Subv|Medio|2296|3969|4011|2416|2423|1812|3257|3206|RM|Talagante
25753|363|CENTRO EDUCACIONAL PRINCIPADO DE ASTURIAS ADULTOS|461.9|282.2|461.7|422.5|430.5|560.5|581.2|507.48728813559325|P. C/Subv|Medio Bajo|4003|4100|4076|3952|2905|2866|4064|4048|RM|Puente Alto
25766|310|LINCOLN COLLEGE SAN MARTÍN|598.5|387.5|576.5|457.2|480.1|638.8|651.1|571.4658227848101|P. C/Subv|Medio|2275|1075|1384|1580|1591|1454|3211|3375|RM|Maipú
25767|310|COLEGIO SAN JORGE DE LAS CONDES|537|409.3|568.9|463.7|517|685.3|694.1|589.0709401709402|P. C/Subv|Medio Alto|1731|2429|855|1757|1395|791|2293|2620|RM|Las Condes
25770|310|LICEO NACIONAL MAIPÚ|753.7|542.5|696.2|615.1|629.7|805.4|811|712.4958684009182|Público|Medio|212|206|154|251|172|180|397|526|RM|Maipú
25775|363|COLEGIO PARTICULAR DE ADULTOS SANTA MARÍA DEL TRABAJO|518.2|292|480.1|416.8|424|585.7|608.6|539.1036363636365|P. C/Subv|Medio|3367|3038|4060|3717|3180|3062|3899|3886|RM|Maipú
25779|410|COLEGIO POLIVALENTE CARDENAL JOSÉ MARÍA CARO|542.6|369.7|517.1|405|431.1|640.9|655.5|537.0683417085427|P. C/Subv|Bajo|3427|2266|2077|2942|3672|2854|3179|3310|RM|La Pintana
25779|510|COLEGIO POLIVALENTE CARDENAL JOSÉ MARÍA CARO|556.6|360.3|515.4|440.3|411.9|626.9|637.5|538.5281632653063|P. C/Subv|Bajo|3387|1899|2574|2987|2155|3405|3412|3574|RM|La Pintana
25781|310|COLEGIO BICENTENARIO ARZOBISPO CRESCENTE ERRÁZURIZ|679.3|434.9|653.5|516.9|523.3|759.8|769.4|643.3272921108742|P. C/Subv|Medio|622|407|562|465|545|728|913|1119|RM|Puente Alto
